year,inc_before_transfers_taxes,adj_inc_before_transfers_taxes,inc_after_transfers_taxes,adj_inc_after_transfers_taxes
1979,61600,33700,50600,27600
1980,59500,32800,49100,26700
1981,59400,33000,48700,26700
1982,58500,32600,48700,26800
1983,58000,32400,48300,26800
1984,60800,34300,50400,28200
1985,61200,34400,50600,28300
1986,62700,35400,51800,29000
1987,62200,35700,51700,29500
1988,63000,36100,51900,29800
1989,63700,36700,52800,30300
1990,64400,36800,53400,30300
1991,63300,36500,53200,30300
1992,63400,36600,53700,30700
1993,63700,36700,54200,30800
1994,64300,37200,54600,31200
1995,66300,38300,56800,32300
1996,67600,39000,57500,32700
1997,69000,39800,58500,33300
1998,71400,41400,61400,35000
1999,73900,42500,63200,36000
2000,74400,43000,63900,36600
2001,73800,42900,64900,37300
2002,72100,42000,64400,37000
2003,72000,42100,65300,37700
2004,74400,43300,67400,38600
2005,75700,44000,68500,39200
2006,76800,45000,69300,39900
2007,79800,46400,72100,41300
2008,77200,45000,72600,41400
2009,75500,44000,72200,41100
2010,75800,44400,72200,41300
2011,74200,43600,71100,40800
2012,74300,43600,71100,40700
2013,75600,44500,71200,40900
2014,77100,45000,73200,41800
